ABT	49.90	+0.13	
ABBV	69.99	+0.00	
ACE	104.14	-0.22	
ACN	100.48	-0.97	
ACT	298.98	+0.00	
ADBE	82.10	-0.42	
ADT	32.53	-0.08	
AES	13.21	-0.14	
AET	112.92	+0.01	
AFL	61.59	-0.63	
AMG	218.80	-1.19	
A	39.95	-0.39	
GAS	48.22	-0.74	
APD	136.21	-0.86	
ARG	102.29	-0.62	
AKAM	72.72	+0.09	
AA	10.49	-0.02	
ALXN	204.30	+0.04	
ATI	25.57	-1.04	
ALLE	61.39	+0.12	
AGN	316.21	-1.16	
ADS	302.37	+0.22	
ALL	67.59	-0.39	
ALTR	50.34	-0.22	
MO	53.22	+0.31	
AMZN	483.01	+7.53	
AEE	39.39	-0.27	
AEP	55.72	-0.64	
AXP	79.22	+0.30	
AIG	64.05	-0.11	
AMT	96.95	-0.87	
AMP	127.63	-0.26	
ABC	113.20	+1.32	
AME	54.86	-0.43	
AMGN	163.27	+0.23	
APH	54.32	-0.63	
APC	73.88	-0.81	
ADI	62.46	-0.37	
AON	102.41	-0.38	
APA	50.64	-2.03	
AIV	39.45	+0.04	
AAPL	129.62	+1.11	
AMAT	17.77	-0.10	
ADM	48.02	+0.17	
AIZ	72.72	-0.82	
T	35.01	-0.15	
ADSK	52.19	-0.31	
ADP	82.39	-0.51	
AN	66.20	+0.21	
AZO	677.13	-3.59	
AVGO	133.66	-1.04	
AVB	169.21	-0.63	
AVY	61.82	-1.14	
AVP	5.69	-0.10	
BHI	58.32	-0.55	
BLL	71.51	-0.55	
BAC	18.10	+0.15	
BK	42.82	-0.25	
BCR	178.84	+0.19	
BAX	37.36	-0.41	
BBT	40.85	-0.70	
BDX	148.05	+0.05	
BBBY	68.25	-1.21		
BBY	32.88	-2.02	
BIIB	404.66	+0.93	
BLK	354.54	+0.26	
HRB	31.80	-0.27	
BA	146.84	-1.65	
BWA	52.22	+0.42	
BXP	125.57	-0.42	
BSX	17.94	-0.01	
BMY	69.29	-0.09	
BRCM	53.60	+0.11		
CHRW	63.00	-0.32	
CA	30.53	-0.18	
CVC	27.15	-0.15	
COG	29.01	-0.50	
CAM	49.19	-1.75	
CPB	47.85	-0.17	
COF	90.99	+0.03	
CAH	86.76	-0.26		
KMX	67.95	-0.92	
CCL	52.10	-0.11	
CAT	83.16	-0.60	
CBG	37.52	-0.85	
CBS	54.70	-0.75	
CELG	134.52	-0.20	
CNP	19.00	-0.24	
CTL	30.94	+0.45	
CERN	71.33	+0.03	
CF	68.92	+6.18	
SCHW	34.79	+0.03	
CHK	10.94	-0.64	
CVX	93.15	-1.33	
CMG	661.95	+3.49	
CB	122.06	+0.11	
CI	153.41	-0.88	
XEC	103.55	-1.94	
CINF	53.56	-0.32	
CTAS	85.55	-1.23	
CSCO	28.18	-0.14	
C	58.75	+0.16	
CTXS	69.71	-0.67	
CLX	110.44	-0.63	
CME	99.73	+0.56	
CMS	33.65	-0.68	
COH	31.85	-0.45	
KO	41.25	-0.23	
CCE	45.49	-0.11	
CTSH	60.59	-0.58	
CL	67.50	-0.12	
CMCSA	64.27	-0.05	
CMA	47.28	-3.19	
CSC	67.50	-0.30	
CAG	44.44	-0.18	
COP	57.20	-0.75	
CNX	17.21	-0.99	
ED	61.30	-0.42	
STZ	117.78	+0.24	
GLW	19.08	-0.46	
COST	144.68	+0.35		
CCI	81.09	-0.60	
CSX	32.18	+0.01	
CMI	128.19	-2.20	
CVS	110.14	-0.40	
DHI	27.14	-0.40	
DHR	88.72	+0.02	
DRI	72.59	-0.36	
DVA	79.97	+0.13	
DE	96.97	-0.36	
DLPH	77.94	+1.14	
DAL	44.94	+0.47	
DNR	4.57	-0.31	
XRAY	52.57	+0.08	
DVN	53.64	-0.73	
DO	23.15	-1.24	
DTV	93.46	-0.09	
DFS	59.15	-0.16	
DISCA	33.31	-1.49	
DISCK	31.00	-1.68	
DG	80.44	+0.16	
DLTR	81.67	-0.51	
D	69.65	-0.53	
DOV	66.37	+0.05	
DOW	51.17	-1.06	
DPS	78.67	-0.09	
DTE	77.51	-1.03	
DD	59.67	-0.10	
DUK	73.57	-1.24	
DNB	124.99	-0.28	
ETFC	30.18	-0.18	
EMN	78.18	-1.45	
ETN	65.11	-0.87	
EBAY	66.29	+0.70	
ECL	112.78	-1.92	
EIX	58.54	-0.60	
EW	154.30	-0.17	
EA	73.47	+0.50	
EMC	25.26	+0.05	
EMR	52.59	-0.78	
ESV	19.03	-1.29	
ETR	72.37	-0.60	
EOG	80.50	-1.90	
EQT	75.24	-1.48	
EFX	98.55	-1.58	
EQR	74.73	-0.34	
ESS	222.99	-0.78	
EL	88.68	-0.63	
EXC	33.49	-0.10	
EXPE	110.79	+0.74	
EXPD	44.82	-0.25	
ESRX	91.24	+0.17	
XOM	82.61	-0.30	
FFIV	116.28	-1.65	
FB	94.97	+4.12	
FDO	79.39	+0.00	
FAST	41.86	-0.07	
FDX	170.23	+0.74	
FIS	64.09	-0.41	
FITB	21.13	-0.23	
FSLR	43.95	-0.81	
FE	34.40	-0.29	
FISV	88.04	-0.19	
FLIR	30.20	-0.44	
FLS	49.22	-0.65	
FLR	50.27	-0.48	
FMC	49.75	-0.52	
FTI	36.41	-0.52	
F	14.69	+0.12	
FOSL	69.39	-0.99	
BEN	49.41	-0.22	
FCX	15.88	-0.42	
FTR	5.14	+0.11	
GME	46.67	-0.56	
GCI	13.92	+0.19	
GPS	37.64	-0.45	
GRMN	42.89	-0.21	
GD	148.65	+0.20	
GE	27.24	+0.20	
GGP	26.47	-0.41	
GIS	56.94	-0.09	
GM	30.65	+0.04	
GPC	90.64	-0.23	
GNW	7.79	-0.05	
GILD	118.26	-0.59	
GS	212.46	+1.28	
GT	30.50	+0.11	
GOOGL	699.62	+97.84	
GOOG	672.93	+93.08	
GWW	233.36	+1.00	
HAL	39.99	-0.22	
HOG	54.96	-0.72	
HAR	107.00	-1.29	
HRS	82.17	-0.15	
HIG	46.84	-0.44	
HAS	78.25	-0.17	
HCP	37.50	-0.30	
HCN	67.30	-0.23	
